date,demand
2024-01-01,100.0
2024-01-02,100.2
2024-01-03,100.4
2024-01-04,100.6
2024-01-05,100.8
2024-01-06,121.0
2024-01-07,121.2
2024-01-08,101.4
2024-01-09,101.6
2024-01-10,101.8
2024-01-11,102.0
2024-01-12,102.2
2024-01-13,122.4
2024-01-14,122.6
2024-01-15,102.8
2024-01-16,103.0
2024-01-17,103.2
2024-01-18,103.4
2024-01-19,103.6
2024-01-20,123.8
2024-01-21,124.0
2024-01-22,104.2
2024-01-23,104.4
2024-01-24,104.6
2024-01-25,104.8
2024-01-26,105.0
2024-01-27,125.2
2024-01-28,125.4
2024-01-29,105.6
2024-01-30,105.8
2024-01-31,106.0
2024-02-01,106.2
2024-02-02,106.4
2024-02-03,126.6
2024-02-04,126.8
2024-02-05,107.0
2024-02-06,107.2
2024-02-07,107.4
2024-02-08,107.6
2024-02-09,107.8
2024-02-10,128.0
2024-02-11,128.2
2024-02-12,108.4
2024-02-13,108.6
2024-02-14,108.8
2024-02-15,109.0
2024-02-16,109.2
2024-02-17,129.4
2024-02-18,129.6
2024-02-19,109.8
2024-02-20,110.0
2024-02-21,110.2
2024-02-22,110.4
2024-02-23,110.6
2024-02-24,130.8
2024-02-25,131.0
2024-02-26,111.2
2024-02-27,111.4
2024-02-28,111.6
2024-02-29,111.8
2024-03-01,112.0
2024-03-02,132.2
2024-03-03,132.4
2024-03-04,112.6
2024-03-05,112.8
2024-03-06,113.0
2024-03-07,113.2
2024-03-08,113.4
2024-03-09,133.6
2024-03-10,133.8
2024-03-11,114.0
2024-03-12,114.2
2024-03-13,114.4
2024-03-14,114.6
2024-03-15,114.8
2024-03-16,135.0
2024-03-17,135.2
2024-03-18,115.4
2024-03-19,115.6
2024-03-20,115.8
2024-03-21,116.0
2024-03-22,116.2
2024-03-23,136.4
2024-03-24,136.6
2024-03-25,116.8
2024-03-26,117.0
2024-03-27,117.2
2024-03-28,117.4
2024-03-29,117.6
2024-03-30,137.8
2024-03-31,138.0
2024-04-01,118.2
2024-04-02,118.4
2024-04-03,118.6
2024-04-04,118.8
2024-04-05,119.0
2024-04-06,139.2
2024-04-07,139.4
2024-04-08,119.6
2024-04-09,119.8
2024-04-10,120.0
2024-04-11,120.2
2024-04-12,120.4
2024-04-13,140.6
2024-04-14,140.8
2024-04-15,121.0
2024-04-16,121.2
2024-04-17,121.4
2024-04-18,121.6
2024-04-19,121.8
2024-04-20,142.0
2024-04-21,142.2
2024-04-22,122.4
2024-04-23,122.6
2024-04-24,122.8
2024-04-25,123.0
2024-04-26,123.2
2024-04-27,143.4
2024-04-28,143.6
2024-04-29,123.8
